tetelkod;tipuskod;nevkod;osszeg;bank;datum
1;1;36;5880,00 Ft;1;2005.1.3 0:00:00
2;1;11;18597,00 Ft;1;2005.1.26 0:00:00
3;1;13;45000,00 Ft;1;2005.1.21 0:00:00
4;1;19;3845,00 Ft;1;2005.1.27 0:00:00
5;1;12;4335,00 Ft;1;2005.1.10 0:00:00
6;1;14;3315,00 Ft;1;2005.1.7 0:00:00
7;1;21;8380,00 Ft;1;2005.1.5 0:00:00
8;1;15;6630,00 Ft;1;2005.1.4 0:00:00
9;1;5;3615,00 Ft;1;2005.1.7 0:00:00
10;1;6;3620,00 Ft;1;2005.1.19 0:00:00
11;18;8;-4000,00 Ft;1;2005.1.12 0:00:00
12;5;8;-1819,00 Ft;1;2005.1.31 0:00:00
13;1;18;3562,00 Ft;1;2005.2.7 0:00:00
14;1;36;5880,00 Ft;1;2005.3.1 0:00:00
15;1;22;7830,00 Ft;1;2005.2.28 0:00:00
16;1;21;11493,00 Ft;1;2005.2.28 0:00:00
17;1;4;8804,00 Ft;1;2005.2.10 0:00:00
18;1;9;6680,00 Ft;1;2005.2.10 0:00:00
19;1;14;3491,00 Ft;1;2005.2.8 0:00:00
20;1;16;7790,00 Ft;1;2005.2.22 0:00:00
21;1;17;4072,00 Ft;1;2005.2.3 0:00:00
22;1;19;3845,00 Ft;1;2005.2.25 0:00:00
23;1;12;5791,00 Ft;1;2005.2.24 0:00:00
24;1;5;3615,00 Ft;1;2005.2.8 0:00:00
25;1;6;5500,00 Ft;1;2005.2.21 0:00:00
26;2;26;-32202,00 Ft;1;2005.2.8 0:00:00
27;4;25;-11693,00 Ft;1;2005.2.8 0:00:00
28;3;24;-56438,00 Ft;1;2005.2.22 0:00:00
29;16;53;-12398,00 Ft;1;2005.2.22 0:00:00
30;5;8;-2901,00 Ft;1;2005.2.28 0:00:00
31;19;55;-22000,00 Ft;0;2005.1.10 0:00:00
32;10;35;-557,00 Ft;0;2005.4.6 0:00:00
33;20;8;109273,00 Ft;1;2005.1.1 0:00:00
34;20;56;6529,00 Ft;0;2005.1.1 0:00:00
37;1;17;4072,00 Ft;1;2005.3.10 0:00:00
38;1;17;4072,00 Ft;1;2005.3.3 0:00:00
39;1;12;5063,00 Ft;1;2005.3.19 0:00:00
40;1;20;3720,00 Ft;1;2005.3.19 0:00:00
41;1;19;3845,00 Ft;1;2005.3.29 0:00:00
42;1;16;3895,00 Ft;1;2005.3.22 0:00:00
43;1;18;3562,00 Ft;1;2005.3.7 0:00:00
44;1;4;4402,00 Ft;1;2005.3.7 0:00:00
45;1;14;3491,00 Ft;1;2005.3.31 0:00:00
46;6;8;599,00 Ft;1;2005.3.31 0:00:00
47;1;5;3615,00 Ft;1;2005.3.8 0:00:00
48;1;6;5500,00 Ft;1;2005.3.19 0:00:00
49;5;8;-2843,00 Ft;1;2005.3.31 0:00:00
50;16;53;-12398,00 Ft;1;2005.3.24 0:00:00
51;4;25;-12207,00 Ft;1;2005.3.24 0:00:00
52;1;5;3615,00 Ft;1;2005.4.7 0:00:00
53;1;20;3720,00 Ft;1;2005.4.29 0:00:00
54;1;19;3845,00 Ft;1;2005.4.27 0:00:00
55;1;18;3562,00 Ft;1;2005.4.8 0:00:00
56;1;36;8820,00 Ft;1;2005.4.8 0:00:00
57;1;7;20000,00 Ft;1;2005.4.7 0:00:00
58;1;15;10473,00 Ft;1;2005.4.21 0:00:00
59;1;21;11493,00 Ft;1;2005.4.22 0:00:00
60;1;14;3491,00 Ft;1;2005.4.15 0:00:00
61;1;11;18597,00 Ft;1;2005.4.14 0:00:00
63;1;9;29364,00 Ft;1;2005.4.13 0:00:00
64;1;12;5063,00 Ft;1;2005.4.13 0:00:00
65;1;4;4402,00 Ft;1;2005.4.13 0:00:00
66;1;6;5500,00 Ft;1;2005.4.19 0:00:00
67;5;8;-2357,00 Ft;1;2005.4.29 0:00:00
68;1;2;22000,00 Ft;0;2005.1.10 0:00:00
71;1;12;25784,00 Ft;1;2005.5.10 0:00:00
72;1;36;8820,00 Ft;1;2005.5.26 0:00:00
73;1;18;1062,00 Ft;1;2005.5.6 0:00:00
74;1;16;7790,00 Ft;1;2005.5.23 0:00:00
75;1;14;3491,00 Ft;1;2005.5.23 0:00:00
76;1;19;1445,00 Ft;1;2005.5.17 0:00:00
77;1;5;3615,00 Ft;1;2005.5.9 0:00:00
78;1;6;5500,00 Ft;1;2005.5.19 0:00:00
79;5;8;-3331,00 Ft;1;2005.5.31 0:00:00
80;3;24;-61439,00 Ft;1;2005.5.3 0:00:00
81;2;26;-39243,00 Ft;1;2005.5.3 0:00:00
82;16;53;-12398,00 Ft;1;2005.5.3 0:00:00
83;4;25;-5975,00 Ft;1;2005.5.3 0:00:00
84;16;53;-12398,00 Ft;1;2005.5.10 0:00:00
85;4;25;-5628,00 Ft;1;2005.5.10 0:00:00
86;1;20;3720,00 Ft;1;2005.5.12 0:00:00
87;1;12;5063,00 Ft;1;2005.6.10 0:00:00
88;1;18;3062,00 Ft;1;2005.6.10 0:00:00
89;1;9;10020,00 Ft;1;2005.6.16 0:00:00
90;1;9;13524,00 Ft;1;2005.6.16 0:00:00
91;1;16;20630,00 Ft;1;2005.6.15 0:00:00
92;1;20;3720,00 Ft;1;2005.6.16 0:00:00
93;1;19;3845,00 Ft;1;2005.6.15 0:00:00
94;1;23;12500,00 Ft;1;2005.6.15 0:00:00
95;1;5;3615,00 Ft;1;2005.6.7 0:00:00
96;1;6;5500,00 Ft;1;2005.6.21 0:00:00
97;1;21;15831,00 Ft;1;2005.6.22 0:00:00
98;6;8;756,00 Ft;1;2005.6.30 0:00:00
99;2;26;-47692,00 Ft;1;2005.6.10 0:00:00
100;16;53;-24796,00 Ft;1;2005.6.10 0:00:00
101;4;25;-4728,00 Ft;1;2005.6.10 0:00:00
102;5;8;-2756,00 Ft;1;2005.6.30 0:00:00
