ingatlankod;tulajdonoskod;lakas;nyito;kozos
1;16;Fsz/1;-18310,00 Ft;46740,00 Ft
2;17;Fsz/2;-2479,00 Ft;48864,00 Ft
3;15;Fsz/3;-6630,00 Ft;41892,00 Ft
4;14;Fsz/4;1051,00 Ft;41892,00 Ft
5;13;Fsz/5;-91455,00 Ft;48864,00 Ft
6;12;Fsz/6;0,00 Ft;46740,00 Ft
7;7;I/1;-56338,00 Ft;46740,00 Ft
8;22;I/2;-7830,00 Ft;31332,00 Ft
9;21;I/3;-11493,00 Ft;46440,00 Ft
10;11;I/4;0,00 Ft;60372,00 Ft
11;6;I/5;-11684,00 Ft;55524,00 Ft
12;9;II/1;-2787,00 Ft;40080,00 Ft
13;4;II/2;0,00 Ft;44616,00 Ft
14;2;II/3;-763,00 Ft;45528,00 Ft
15;5;II/4;-204,00 Ft;45528,00 Ft
16;20;II/5;0,00 Ft;44616,00 Ft
17;23;II/6;-12133,00 Ft;40080,00 Ft
18;19;III/1;0,00 Ft;46140,00 Ft
19;18;III/2;-736,00 Ft;36744,00 Ft
20;36;III/3;-29395,00 Ft;37356,00 Ft
