jarmuazonosito;tipusazonosito;szin;ar;diesel;beadas;elkelt
1;28;barna;6360000;0;2006.10.5;2006.10.14
2;31;fehér;3030000;0;2007.1.2;
3;3;piros;2740000;0;2006.11.22;
4;37;zöld;1430000;1;2007.4.8;2007.6.21
5;36;barna;2050000;0;2007.3.5;
6;4;zöld;2350000;0;2007.1.21;2007.1.22
7;5;piros;910000;0;2007.6.11;
8;36;piros;810000;1;2006.12.2;2007.2.19
9;9;kék;3100000;1;2007.1.22;
10;8;lila;5130000;0;2007.1.12;2007.2.9
11;34;szürke;6010000;0;2006.10.20;2006.12.11
12;34;fekete;1410000;0;2007.2.11;2007.2.20
13;21;sárga;6040000;0;2006.10.12;
14;23;szürke;4460000;1;2007.5.3;2007.5.9
15;31;zöld;2520000;0;2007.4.23;
16;28;barna;1520000;1;2007.1.6;
17;20;szürke;1360000;1;2006.10.8;2006.10.28
18;35;fekete;5480000;1;2006.10.8;
19;15;szürke;1840000;0;2007.6.13;2007.8.23
20;11;piros;4840000;1;2006.12.17;2007.1.19
21;39;piros;2380000;1;2007.5.26;2007.8.11
22;24;sárga;820000;0;2007.6.26;
23;18;zöld;3300000;0;2007.1.26;2007.4.12
24;37;kék;5920000;1;2007.1.10;
25;4;fekete;3980000;0;2006.12.31;2007.2.17
26;13;kék;5530000;0;2006.11.27;
27;7;piros;2000000;1;2007.4.19;2007.5.8
28;20;kék;2460000;0;2007.2.8;2007.4.12
29;29;sárga;3050000;0;2006.12.17;
30;5;fekete;3260000;0;2007.2.14;2007.3.9
31;29;sárga;5050000;1;2007.6.29;2007.7.1
32;23;lila;4870000;0;2007.6.17;
33;34;szürke;1370000;0;2007.3.25;
34;19;szürke;1790000;1;2006.12.6;
35;10;sárga;4120000;1;2007.6.4;
36;21;piros;620000;0;2006.12.22;2007.2.15
37;22;sárga;3890000;0;2007.4.18;2007.5.22
38;23;szürke;590000;0;2007.1.2;2007.2.25
39;27;fehér;2150000;0;2007.6.30;2007.8.25
40;30;piros;5350000;0;2007.4.2;
41;35;szürke;3930000;1;2006.11.2;
42;22;barna;670000;0;2007.4.21;2007.5.8
43;15;lila;6410000;0;2006.11.21;
44;3;kék;5160000;1;2007.3.26;2007.3.30
45;1;sárga;5520000;1;2006.11.20;2006.12.19
46;8;sárga;6050000;0;2007.6.22;
47;4;lila;3690000;1;2006.11.18;
48;24;sárga;1060000;0;2007.2.19;2007.2.24
49;29;barna;6460000;1;2006.12.16;
50;29;sárga;1430000;1;2006.11.23;2006.12.14
51;32;zöld;2120000;1;2006.12.15;
52;3;kék;2900000;1;2007.2.14;2007.3.5
53;18;barna;750000;0;2007.4.3;
54;3;sárga;540000;1;2006.10.14;
55;17;zöld;5090000;0;2007.2.13;2007.2.27
56;5;barna;2860000;0;2007.3.27;
57;23;piros;520000;1;2006.11.14;
58;25;barna;1110000;0;2007.4.8;
59;31;zöld;1490000;1;2006.11.17;2006.12.9
60;18;zöld;1800000;0;2006.10.12;
61;16;lila;6500000;1;2007.7.13;2007.8.26
62;4;szürke;590000;0;2007.6.17;
63;37;kék;3310000;1;2007.5.17;
64;23;fekete;2180000;0;2006.10.6;2006.11.12
65;12;barna;3990000;1;2007.1.8;
66;35;barna;5580000;1;2007.5.10;
