tipusazonosito;gyartmanyazonosito;megnevezes;ajto;hengerurtartalom
1;1;Vectra;4;1800
2;1;Tigra;2;1400
3;2;Golf;5;1600
4;4;A3;4;2000
5;4;A4;5;2300
6;5;Laguna;5;1700
7;10;Logan;4;1200
8;11;Ibiza;4;1500
9;11;Leon;3;1600
10;15;Swift;3;1300
11;15;Sedan;5;1400
12;15;Baleno;4;1500
13;17;Avensis;5;1600
14;12;Samara;5;1300
15;13;Matiz;3;900
16;3;200;4;1400
17;3;300;4;1500
18;3;600;4;2000
19;1;Astra;5;1400
20;4;A6;4;1800
21;8;Uno;5;1200
22;18;Civic;3;1600
23;1;Corsa;3;1100
24;1;Zafira;5;1600
25;16;Fabia;4;1200
26;16;Octavia;5;1400
27;16;Superb;4;1600
28;20;XL1;3;1800
29;20;Sport;3;1700
30;17;Yaris;5;1300
31;10;Classic;4;1200
32;13;Tiko;5;900
33;19;Focus;5;1400
34;6;C3;5;1300
35;6;C4;4;1500
36;6;C5;4;1600
37;5;Clio;5;1200
38;8;Ritmo;3;1100
39;1;Agila;3;1200
40;3;Smart;3;600
