Sertéshús külkereskedelem
Év	Mennyiség		Érték	
	Import	Export	Import	Export
2004	60000	81004	24531	45578
2005	90221	84201	37588	48931
2006	73679	86943	32172	55501
2007	69743	95471	27729	54833
2008	88662	102296	39536	59702
2009	101992	111630	48158	66835
2010	124847	165448	56633	94293
2011	143144	161026	74945	97977
2012	149363	143373	94212	96918
2013	138097	140446	82147	93933
2014	131072	139094	77056	101124
2015	124167	143923	67901	98701
2016	144246	137059	85525	101388
2017	152098	141765	98025	109773
2018	171668	133511	98993	89447

Élő sertés külkereskedelem
Év	Mennyiség		Érték	
	Import	Export	Import	Export
2004	30790	12892	9341	3547
2005	63876	17202	18537	5339
2006	80919	14819	24140	5488
2007	66255	18408	17825	6364
2008	62156	33630	21333	12814
2009	75425	30278	27691	13404
2010	110477	38683	36203	14725
2011	60912	47516	22675	18424
2012	44583	67522	22851	31473
2013	41233	71666	23191	35691
2014	53597	52408	28878	25594
2015	58630	33477	26434	14775
2016	57610	32515	30608	15565
2017	75982	27958	45687	15953
2018	64161	35469	32189	15971
